Timestamp,LT_ax (m/s²),LT_ay (m/s²),LT_az (m/s²),LS_ax (m/s²),LS_ay (m/s²),LS_az (m/s²),RS_ax (m/s²),RS_ay (m/s²),RS_az (m/s²),RT_ax (m/s²),RT_ay (m/s²),RT_az (m/s²),LT_gx (rad/s),LT_gy (rad/s),LT_gz (rad/s),LS_gx (rad/s),LS_gy (rad/s),LS_gz (rad/s),RS_gx (rad/s),RS_gy (rad/s),RS_gz (rad/s),RT_gx (rad/s),RT_gy (rad/s),RT_gz (rad/s),LT_a_res (m/s²),LS_a_res (m/s²),RS_a_res (m/s²),RT_a_res (m/s²),LT_g_res (rad/s),LS_g_res (rad/s),RS_g_res (rad/s),RT_g_res (rad/s)
2025-03-19 15:33:25.498475,-1.94728,-0.11174,-0.24742,-1.94656,0.07083,-0.22564,-1.9456,-0.17013,-0.14524,-1.86832,0.34146,-0.42281,6e-05,-0.00015,6e-05,5e-05,-0.00037,-4e-05,9e-05,-8e-05,0.00014,0.0001,-8e-05,-7e-05,1.96611,1.96087,1.95842,1.94576,0.00017,0.00038,0.00018,0.00015
2025-03-19 15:33:25.513982,-3.51515,-0.19994,-0.44774,-3.50453,0.13539,-0.4174,-3.50424,-0.29259,-0.26,-3.36273,0.62802,-0.74,0.00011,-0.00027,8e-05,0.0001,-0.00068,-6e-05,0.00017,-0.00013,0.00026,0.00018,-0.00015,-0.00013,3.54919,3.5319,3.52603,3.49999,0.0003,0.00069,0.00034,0.00027
2025-03-19 15:33:25.527546,-4.76754,-0.27409,-0.60633,-4.74755,0.19445,-0.57129,-4.75187,-0.37477,-0.35229,-4.55682,0.87019,-1.00046,0.00011,-0.00035,9e-05,0.00014,-0.00092,-8e-05,0.00024,-0.00018,0.00035,0.00025,-0.00022,-0.00018,4.81375,4.78575,4.77963,4.74581,0.00038,0.00093,0.00046,0.00038
2025-03-19 15:33:25.540472,-5.76418,-0.33389,-0.73559,-5.74077,0.24194,-0.69033,-5.74638,-0.43334,-0.42516,-5.51545,1.06872,-1.20451,5e-05,-0.00042,9e-05,0.00012,-0.00112,-0.0001,0.00027,-0.00022,0.00041,0.00027,-0.00026,-0.00022,5.82051,5.78719,5.77836,5.74571,0.00043,0.00113,0.00054,0.00043
2025-03-19 15:33:25.553949,-6.56484,-0.38604,-0.83278,-6.53607,0.27276,-0.77552,-6.54271,-0.48761,-0.48394,-6.27087,1.22778,-1.37207,-1e-05,-0.00047,9e-05,0.00011,-0.00126,-0.00012,0.00026,-0.00024,0.00046,0.00023,-0.00031,-0.00022,6.6287,6.58757,6.57868,6.53558,0.00048,0.00127,0.00058,0.00044
2025-03-19 15:33:25.566809,-7.20585,-0.42679,-0.91101,-7.1692,0.29908,-0.84031,-7.17499,-0.54107,-0.53072,-6.87257,1.33875,-1.5207,-7e-05,-0.00051,9e-05,0.0001,-0.00138,-0.00013,0.00024,-0.00024,0.00048,0.00022,-0.00036,-0.00022,7.27574,7.22447,7.21491,7.16498,0.00052,0.00139,0.00059,0.00048
2025-03-19 15:33:25.579929,-7.71579,-0.45988,-0.97312,-7.6745,0.32038,-0.89096,-7.6844,-0.58887,-0.57652,-7.35751,1.417,-1.64584,-9e-05,-0.00055,0.0001,0.00011,-0.00146,-0.00015,0.00024,-0.00023,0.0005,0.00024,-0.0004,-0.00022,7.7905,7.73268,7.72846,7.67135,0.00057,0.00147,0.0006,0.00052
2025-03-19 15:33:25.593123,-8.12518,-0.48683,-1.02735,-8.08018,0.3391,-0.93554,-8.09192,-0.64027,-0.60814,-7.74524,1.4753,-1.75527,-0.0001,-0.00059,0.00011,0.00013,-0.00153,-0.00016,0.00023,-0.00022,0.00052,0.00026,-0.00043,-0.00023,8.20433,8.14122,8.13996,8.07751,0.00061,0.00154,0.00061,0.00055
2025-03-19 15:33:25.605805,-8.45101,-0.50767,-1.07384,-8.40592,0.35192,-0.97359,-8.41771,-0.69622,-0.63941,-8.05326,1.52074,-1.83182,-0.0001,-0.00062,0.00013,0.00015,-0.00158,-0.00018,0.00021,-0.00021,0.00055,0.00022,-0.00043,-0.00025,8.53407,8.46943,8.47062,8.39781,0.00064,0.0016,0.00063,0.00054
2025-03-19 15:33:25.619037,-8.70665,-0.52745,-1.10936,-8.66507,0.36409,-1.00643,-8.67642,-0.74027,-0.66012,-8.30422,1.54967,-1.88444,-5e-05,-0.00064,0.00017,0.00017,-0.00162,-0.00019,0.00018,-0.00021,0.00058,0.00024,-0.0004,-0.00029,8.79287,8.73092,8.73293,8.65521,0.00066,0.00164,0.00064,0.00055
2025-03-19 15:33:25.631816,-8.91092,-0.54375,-1.13778,-8.8736,0.36688,-1.03366,-8.88746,-0.78699,-0.66999,-8.51145,1.56372,-1.92031,1e-05,-0.00066,0.0002,0.00019,-0.00165,-0.0002,0.00017,-0.0002,0.00062,0.00024,-0.00039,-0.00035,8.99971,8.94113,8.94736,8.8644,0.00069,0.00167,0.00067,0.00058
2025-03-19 15:33:25.645161,-9.07817,-0.55752,-1.16267,-9.04496,0.35763,-1.0564,-9.05485,-0.79996,-0.67262,-8.67796,1.58741,-1.94805,6e-05,-0.00067,0.00023,0.00019,-0.0017,-0.00021,0.00022,-0.00021,0.00067,0.00021,-0.00039,-0.0004,9.16929,9.11346,9.11497,9.03448,0.00071,0.00172,0.00074,0.0006
2025-03-19 15:33:25.657912,-9.21867,-0.56135,-1.18712,-9.18373,0.35406,-1.07148,-9.1926,-0.78617,-0.68454,-8.80925,1.63148,-1.97312,7e-05,-0.00067,0.00025,0.00018,-0.00174,-0.00022,0.00027,-0.00022,0.0007,0.00023,-0.0004,-0.00044,9.31173,9.2528,9.25152,9.17376,0.00072,0.00176,0.00078,0.00064
2025-03-19 15:33:25.672290,-9.32939,-0.56824,-1.20286,-9.28876,0.35743,-1.08044,-9.30255,-0.75743,-0.69958,-8.91476,1.67153,-1.9848,5e-05,-0.00067,0.00025,0.00016,-0.00177,-0.00022,0.00033,-0.00023,0.00071,0.00027,-0.00044,-0.00044,9.42376,9.35821,9.35952,9.28474,0.00072,0.00179,0.00082,0.00068
2025-03-19 15:33:25.685381,-9.41462,-0.58285,-1.21473,-9.3735,0.35486,-1.09023,-9.38621,-0.73827,-0.71543,-8.99892,1.69112,-2.0061,-1e-05,-0.00068,0.00025,0.00014,-0.00179,-0.00022,0.00035,-0.00024,0.0007,0.00028,-0.00048,-0.00041,9.51054,9.44336,9.44234,9.37363,0.00072,0.00181,0.00082,0.00069
2025-03-19 15:33:25.698091,-9.48568,-0.59645,-1.22183,-9.43818,0.35088,-1.09855,-9.45314,-0.73945,-0.72501,-9.05406,1.71278,-2.0186,-7e-05,-0.0007,0.00024,0.00016,-0.00181,-0.00022,0.00037,-0.00025,0.00069,0.00022,-0.00049,-0.00037,9.58263,9.50837,9.50969,9.43315,0.00074,0.00183,0.00082,0.00065
2025-03-19 15:33:25.711408,-9.53295,-0.60805,-1.22441,-9.48825,0.35345,-1.10879,-9.50548,-0.75523,-0.73482,-9.0996,1.72795,-2.02381,-7e-05,-0.00071,0.00024,0.00017,-0.00182,-0.00021,0.00039,-0.00026,0.00067,0.00021,-0.00048,-0.00034,9.63047,9.55935,9.56371,9.48074,0.00075,0.00184,0.00082,0.00062
2025-03-19 15:33:25.723893,-9.5734,-0.60895,-1.23125,-9.53214,0.35574,-1.11507,-9.5476,-0.77599,-0.73621,-9.14536,1.72238,-2.02966,-5e-05,-0.00071,0.00024,0.00018,-0.00183,-0.00021,0.00042,-0.00026,0.00066,0.00024,-0.00047,-0.00031,9.67144,9.60373,9.60733,9.5249,0.00075,0.00185,0.00082,0.00061
2025-03-19 15:33:25.736862,-9.60959,-0.60943,-1.24103,-9.56749,0.35925,-1.11937,-9.58416,-0.77656,-0.73733,-9.17767,1.72103,-2.04439,-1e-05,-0.00071,0.00024,0.0002,-0.00184,-0.0002,0.00045,-0.00025,0.00066,0.00023,-0.00048,-0.0003,9.70854,9.63945,9.6438,9.55882,0.00075,0.00186,0.00084,0.00061
2025-03-19 15:33:25.749691,-9.63615,-0.60886,-1.25197,-9.59744,0.36134,-1.12736,-9.6115,-0.77439,-0.73534,-9.20207,1.7257,-2.05976,6e-05,-0.00071,0.00024,0.00024,-0.00185,-0.00019,0.00047,-0.00025,0.00065,0.00023,-0.00049,-0.00029,9.7362,9.67018,9.67064,9.58638,0.00075,0.00188,0.00084,0.00061
2025-03-19 15:33:25.762366,-9.66553,-0.61271,-1.25521,-9.62499,0.36444,-1.12825,-9.63504,-0.77457,-0.73974,-9.22734,1.73781,-2.07827,0.00012,-0.00071,0.00026,0.00026,-0.00185,-0.00018,0.00045,-0.00024,0.00065,0.0003,-0.00049,-0.00028,9.76593,9.69774,9.69439,9.61681,0.00077,0.00188,0.00083,0.00064
2025-03-19 15:33:25.776171,-9.69119,-0.61555,-1.25374,-9.64464,0.36884,-1.12705,-9.64837,-0.785,-0.7435,-9.24756,1.74343,-2.09668,0.00019,-0.00072,0.00027,0.00027,-0.00185,-0.00018,0.00044,-0.00022,0.00066,0.00037,-0.00049,-0.00028,9.79132,9.71727,9.70876,9.64121,0.00079,0.00188,0.00082,0.00067
2025-03-19 15:33:25.788937,-9.70214,-0.61256,-1.24515,-9.6594,0.36327,-1.12273,-9.66454,-0.7931,-0.74004,-9.2544,1.74744,-2.0992,0.00024,-0.00072,0.00028,0.00024,-0.00185,-0.00017,0.00045,-0.00021,0.00067,0.00042,-0.00049,-0.0003,9.80087,9.73121,9.72522,9.64905,0.00081,0.00187,0.00083,0.00071
2025-03-19 15:33:25.802163,-9.71474,-0.61089,-1.24282,-9.67217,0.35211,-1.12407,-9.677,-0.79839,-0.73895,-9.26513,1.75449,-2.08925,0.00028,-0.00072,0.00029,0.00022,-0.00186,-0.00016,0.00045,-0.00021,0.00069,0.00048,-0.00048,-0.00032,9.81295,9.74363,9.73796,9.65846,0.00083,0.00188,0.00085,0.00075
2025-03-19 15:33:25.814858,-9.72864,-0.61314,-1.24239,-9.68119,0.3463,-1.12442,-9.68601,-0.7897,-0.73784,-9.27707,1.7606,-2.08153,0.00028,-0.00072,0.00028,0.00024,-0.00187,-0.00016,0.00044,-0.00021,0.0007,0.00051,-0.00047,-0.00035,9.8268,9.75242,9.74612,9.66936,0.00082,0.00189,0.00085,0.00078
2025-03-19 15:33:25.829388,-9.73354,-0.6135,-1.24253,-9.68553,0.3493,-1.12518,-9.69417,-0.78394,-0.73767,-9.28567,1.77003,-2.07081,0.00021,-0.00072,0.00027,0.00024,-0.00188,-0.00015,0.00043,-0.00021,0.0007,0.00044,-0.00045,-0.00038,9.83169,9.75692,9.75375,9.67703,0.0008,0.0019,0.00085,0.00074
2025-03-19 15:33:25.842884,-9.73339,-0.60853,-1.24311,-9.68637,0.3541,-1.12555,-9.7007,-0.7657,-0.74304,-9.28895,1.77399,-2.07252,0.00014,-0.00073,0.00026,0.00024,-0.00189,-0.00014,0.00041,-0.00023,0.00069,0.00038,-0.00045,-0.00039,9.8313,9.75797,9.7592,9.68127,0.00079,0.00191,0.00083,0.00071
2025-03-19 15:33:25.855599,-9.73256,-0.59857,-1.24358,-9.69326,0.35506,-1.12704,-9.70545,-0.75852,-0.74925,-9.2935,1.77333,-2.07269,0.0001,-0.00074,0.00025,0.0002,-0.0019,-0.00013,0.0004,-0.00024,0.00068,0.00033,-0.00047,-0.00038,9.82993,9.76502,9.76384,9.68555,0.00079,0.00191,0.00082,0.00069
2025-03-19 15:33:25.868812,-9.73644,-0.59634,-1.2442,-9.70237,0.3532,-1.1268,-9.7102,-0.75589,-0.75924,-9.29282,1.7594,-2.0903,8e-05,-0.00074,0.00023,0.0002,-0.00192,-0.00013,0.00039,-0.00026,0.00066,0.00031,-0.0005,-0.00036,9.83371,9.77397,9.76912,9.68614,0.00078,0.00193,0.00081,0.00069
2025-03-19 15:33:25.881572,-9.74289,-0.59671,-1.25283,-9.70558,0.36272,-1.12517,-9.71161,-0.76671,-0.76651,-9.29133,1.74036,-2.11012,5e-05,-0.00073,0.00022,0.0002,-0.00192,-0.00013,0.0004,-0.00028,0.00064,0.00031,-0.00053,-0.00034,9.84122,9.77731,9.77194,9.68557,0.00076,0.00193,0.0008,0.0007
2025-03-19 15:33:25.894862,-9.74829,-0.60515,-1.24777,-9.70864,0.36986,-1.1229,-9.71202,-0.79283,-0.77329,-9.28798,1.74164,-2.1066,5e-05,-0.00072,0.00022,0.00019,-0.00192,-0.00013,0.00043,-0.00029,0.00063,0.00034,-0.00053,-0.00032,9.84644,9.78036,9.77496,9.68182,0.00075,0.00193,0.00082,0.00071
2025-03-19 15:33:25.907566,-9.75261,-0.6107,-1.24252,-9.71179,0.37509,-1.11942,-9.71187,-0.81109,-0.76914,-9.29009,1.73956,-2.10163,6e-05,-0.00072,0.00023,0.00018,-0.00191,-0.00013,0.00048,-0.00031,0.00063,0.00041,-0.00051,-0.00032,9.85039,9.78328,9.77598,9.68239,0.00076,0.00192,0.00085,0.00073
2025-03-19 15:33:25.920188,-9.75272,-0.61179,-1.24263,-9.71193,0.37233,-1.11711,-9.7139,-0.81757,-0.76127,-9.30086,1.74052,-2.10819,7e-05,-0.00072,0.00026,0.00017,-0.00191,-0.00014,0.00051,-0.00032,0.00064,0.00047,-0.00048,-0.00035,9.85058,9.78305,9.77792,9.69432,0.00077,0.00192,0.00088,0.00076
