Timestamp,LF_ax (m/s²),LF_ay (m/s²),LF_az (m/s²),RF_ax (m/s²),RF_ay (m/s²),RF_az (m/s²),LF_gx (rad/s),LF_gy (rad/s),LF_gz (rad/s),RF_gx (rad/s),RF_gy (rad/s),RF_gz (rad/s),LF_a_res (m/s²),RF_a_res (m/s²),LF_g_res (rad/s),RF_g_res (rad/s)
2025-03-22 20:05:51.553856,-4.9252,0.22434,8.53939,-5.37953,4.65662,6.86668,0.00025,-0.00027,0.00059,0.00191,-0.00021,0.00176,9.86048,9.88811,0.0007,0.00261
2025-03-22 20:05:51.563937,-4.93629,-0.0421,8.52898,-5.40073,4.42663,6.99987,0.00031,-0.00027,0.00061,0.0016,-0.00035,0.00145,9.85455,9.88742,0.00074,0.00219
2025-03-22 20:05:51.574050,-4.94182,-0.2543,8.51946,-5.41698,4.24647,7.10402,0.00035,-0.00026,0.00063,0.00135,-0.00046,0.00122,9.85228,9.89158,0.00077,0.00188
2025-03-22 20:05:51.584129,-4.94767,-0.42191,8.50992,-5.42782,4.10808,7.18926,0.00038,-0.00026,0.00065,0.00115,-0.00054,0.00102,9.85272,9.90066,0.0008,0.00163
2025-03-22 20:05:51.594211,-4.95307,-0.54929,8.5023,-5.43889,4.00072,7.25554,0.00041,-0.00026,0.00066,0.00098,-0.00059,0.00085,9.85514,9.91111,0.00082,0.00143
2025-03-22 20:05:51.604424,-4.95715,-0.64498,8.49811,-5.44583,3.90814,7.31095,0.00042,-0.00026,0.00066,0.00084,-0.00063,0.00072,9.85937,9.9187,0.00082,0.00127
2025-03-22 20:05:51.614500,-4.95875,-0.72583,8.49763,-5.45233,3.82809,7.35408,0.00042,-0.00026,0.00065,0.00073,-0.00066,0.00061,9.86538,9.92294,0.00082,0.00116
2025-03-22 20:05:51.624579,-4.96265,-0.78597,8.49797,-5.45682,3.7662,7.3874,0.0004,-0.00026,0.00063,0.00065,-0.00069,0.00052,9.87224,9.92647,0.00079,0.00108
2025-03-22 20:05:51.634798,-4.96362,-0.83791,8.4956,-5.46041,3.7186,7.41692,0.00035,-0.00026,0.0006,0.00058,-0.0007,0.00046,9.87496,9.93251,0.00074,0.00102
2025-03-22 20:05:51.644926,-4.96392,-0.88831,8.49491,-5.46257,3.67981,7.43766,0.00029,-0.00026,0.00058,0.00053,-0.00071,0.00041,9.87892,9.93476,0.0007,0.00098
2025-03-22 20:05:51.655006,-4.96128,-0.93653,8.49315,-5.46405,3.64853,7.45593,0.00025,-0.00026,0.00056,0.00048,-0.00072,0.00037,9.88054,9.93773,0.00067,0.00094
2025-03-22 20:05:51.665103,-4.96085,-0.97511,8.49103,-5.46189,3.63332,7.46959,0.00024,-0.00026,0.00054,0.00046,-0.00072,0.00034,9.88223,9.94123,0.00065,0.00092
2025-03-22 20:05:51.675176,-4.96075,-0.99759,8.4891,-5.46495,3.62235,7.48004,0.00023,-0.00026,0.00054,0.00043,-0.00072,0.0003,9.88277,9.94676,0.00064,0.00089
2025-03-22 20:05:51.685255,-4.95875,-1.01606,8.48779,-5.46811,3.61429,7.48529,0.00023,-0.00026,0.00054,0.0004,-0.00071,0.00026,9.88252,9.94952,0.00064,0.00086
2025-03-22 20:05:51.695342,-4.96002,-1.0227,8.48627,-5.4704,3.59851,7.48925,0.00023,-0.00026,0.00053,0.00036,-0.0007,0.00022,9.88253,9.94804,0.00063,0.00082
2025-03-22 20:05:51.705409,-4.96008,-1.03088,8.48361,-5.47439,3.5835,7.49481,0.00022,-0.00026,0.00052,0.00033,-0.00069,0.00018,9.88113,9.949,0.00062,0.00079
2025-03-22 20:05:51.715489,-4.96037,-1.02977,8.48483,-5.47566,3.57627,7.49974,0.0002,-0.00025,0.00051,0.00031,-0.00069,0.00015,9.88221,9.95081,0.0006,0.00077
2025-03-22 20:05:51.725568,-4.96203,-1.03271,8.48486,-5.4762,3.57073,7.50464,0.00017,-0.00023,0.00049,0.0003,-0.00068,0.00013,9.88337,9.95281,0.00057,0.00075
2025-03-22 20:05:51.735646,-4.96313,-1.04152,8.4832,-5.48022,3.55816,7.50951,0.00013,-0.00021,0.00047,0.00028,-0.00067,0.00011,9.88343,9.9542,0.00053,0.00073
2025-03-22 20:05:51.745728,-4.96424,-1.04522,8.48188,-5.48009,3.55217,7.51054,0.0001,-0.0002,0.00044,0.00028,-0.00067,0.0001,9.88324,9.95276,0.00049,0.00073
2025-03-22 20:05:51.755805,-4.96465,-1.05991,8.48105,-5.48094,3.54331,7.51232,7e-05,-0.00019,0.00043,0.00028,-0.00067,0.0001,9.8843,9.95142,0.00048,0.00073
2025-03-22 20:05:51.765886,-4.96163,-1.07189,8.48207,-5.48115,3.54268,7.51135,5e-05,-0.00019,0.00042,0.00028,-0.00067,0.00011,9.88495,9.95058,0.00046,0.00073
2025-03-22 20:05:51.775962,-4.96161,-1.08459,8.4836,-5.47987,3.54577,7.50962,4e-05,-0.00019,0.00042,0.00028,-0.00069,0.00012,9.88764,9.94967,0.00046,0.00075
2025-03-22 20:05:51.786043,-4.9604,-1.10169,8.48292,-5.47766,3.54753,7.51207,9e-05,-0.00018,0.00044,0.00027,-0.0007,0.00012,9.88834,9.95093,0.00048,0.00076
2025-03-22 20:05:51.796124,-4.95775,-1.10437,8.4838,-5.47804,3.54941,7.51211,0.00015,-0.00017,0.00046,0.00026,-0.00071,0.00012,9.88806,9.95184,0.00051,0.00077
2025-03-22 20:05:51.806200,-4.96089,-1.10315,8.48164,-5.48145,3.55019,7.51453,0.00021,-0.00017,0.00049,0.00025,-0.00071,0.00012,9.88765,9.95582,0.00056,0.00076
2025-03-22 20:05:51.816279,-4.96509,-1.09596,8.48254,-5.48012,3.55226,7.51432,0.00026,-0.00016,0.00052,0.00025,-0.00072,0.00011,9.88973,9.95567,0.0006,0.00077
2025-03-22 20:05:51.826359,-4.96796,-1.08136,8.48254,-5.48408,3.55032,7.51439,0.0003,-0.00015,0.00054,0.00024,-0.00072,0.0001,9.88956,9.95721,0.00064,0.00077
2025-03-22 20:05:51.836432,-4.96978,-1.0747,8.48159,-5.48581,3.55021,7.51133,0.00032,-0.00015,0.00055,0.00023,-0.00072,9e-05,9.88894,9.95581,0.00065,0.00076
2025-03-22 20:05:51.846512,-4.96813,-1.06674,8.48154,-5.48791,3.54605,7.51271,0.00032,-0.00015,0.00056,0.00023,-0.00073,9e-05,9.8872,9.95653,0.00066,0.00077
2025-03-22 20:05:51.856596,-4.96992,-1.06037,8.48103,-5.48887,3.54081,7.51406,0.0003,-0.00016,0.00056,0.00023,-0.00073,9e-05,9.88698,9.95621,0.00066,0.00077
2025-03-22 20:05:51.866675,-4.96944,-1.05599,8.48157,-5.49084,3.5402,7.51418,0.00028,-0.00017,0.00055,0.00022,-0.00073,9e-05,9.88673,9.95717,0.00064,0.00077
2025-03-22 20:05:51.876754,-4.96785,-1.06158,8.4832,-5.49648,3.52656,7.51284,0.00025,-0.00018,0.00053,0.00022,-0.00073,0.0001,9.88793,9.95443,0.00061,0.00077
2025-03-22 20:05:51.886845,-4.96874,-1.07108,8.48379,-5.4931,3.53216,7.51201,0.00023,-0.00018,0.00051,0.00023,-0.00074,0.00012,9.88991,9.95392,0.00059,0.00078
2025-03-22 20:05:51.896920,-4.96514,-1.07509,8.48498,-5.48752,3.54094,7.5111,0.00023,-0.00019,0.00051,0.00023,-0.00075,0.00014,9.88956,9.95328,0.00059,0.0008
2025-03-22 20:05:51.906999,-4.96681,-1.0826,8.48474,-5.49071,3.54103,7.5111,0.00024,-0.0002,0.00051,0.00023,-0.00075,0.00015,9.89101,9.95507,0.0006,0.0008
2025-03-22 20:05:51.917094,-4.96958,-1.08479,8.48191,-5.48681,3.55115,7.50726,0.00027,-0.00021,0.00054,0.00021,-0.00076,0.00015,9.89021,9.95363,0.00064,0.0008
2025-03-22 20:05:51.927182,-4.97084,-1.08773,8.48012,-5.49206,3.55398,7.50372,0.0003,-0.00023,0.00056,0.00019,-0.00077,0.00014,9.88963,9.95486,0.00068,0.00081
2025-03-22 20:05:51.937257,-4.96802,-1.08937,8.48204,-5.491,3.56223,7.50447,0.00034,-0.00025,0.00059,0.00016,-0.00078,0.00013,9.89004,9.95779,0.00073,0.00081
2025-03-22 20:05:51.947354,-4.96887,-1.07752,8.48382,-5.48656,3.5638,7.50507,0.00036,-0.00027,0.0006,0.00014,-0.00078,0.00011,9.8907,9.95636,0.00075,0.0008
2025-03-22 20:05:51.957408,-4.96573,-1.06875,8.48692,-5.48468,3.5629,7.50603,0.00036,-0.00029,0.00061,0.0001,-0.00079,9e-05,9.89083,9.95572,0.00077,0.0008
2025-03-22 20:05:51.967487,-4.96752,-1.05863,8.48748,-5.4815,3.55716,7.50991,0.00035,-0.0003,0.00062,7e-05,-0.00079,7e-05,9.89112,9.95485,0.00077,0.0008
2025-03-22 20:05:51.977584,-4.96751,-1.05939,8.48698,-5.4804,3.54587,7.51421,0.00033,-0.00029,0.00061,5e-05,-0.00079,5e-05,9.89077,9.95346,0.00075,0.00079
2025-03-22 20:05:51.987657,-4.96751,-1.06454,8.48753,-5.48023,3.5366,7.51526,0.00032,-0.00028,0.00061,4e-05,-0.00079,4e-05,9.89179,9.95086,0.00074,0.00079
2025-03-22 20:05:51.997741,-4.96894,-1.07201,8.48677,-5.48249,3.52463,7.51777,0.00033,-0.00028,0.00062,4e-05,-0.00079,4e-05,9.89267,9.94975,0.00076,0.00079
2025-03-22 20:05:52.007827,-4.97153,-1.0677,8.4833,-5.48262,3.5165,7.51619,0.00036,-0.00028,0.00063,6e-05,-0.0008,5e-05,9.89052,9.94575,0.00078,0.0008
2025-03-22 20:05:52.017904,-4.97096,-1.07884,8.47836,-5.4789,3.52147,7.51732,0.0004,-0.00029,0.00066,9e-05,-0.00081,7e-05,9.88721,9.94632,0.00082,0.00082
2025-03-22 20:05:52.027979,-4.96883,-1.0892,8.48183,-5.48549,3.51229,7.52301,0.00049,-0.0003,0.00071,0.00012,-0.00081,9e-05,9.89025,9.951,0.00091,0.00082
2025-03-22 20:05:52.038060,-4.97311,-1.09174,8.47935,-5.48383,3.53007,7.51751,0.00061,-0.00031,0.00078,0.00016,-0.00081,0.0001,9.89056,9.95222,0.00104,0.00083
2025-03-22 20:05:52.048149,-4.97079,-1.09712,8.47783,-5.48776,3.52563,7.51383,0.00073,-0.00032,0.00085,0.00019,-0.00081,0.00011,9.88868,9.95004,0.00117,0.00084
2025-03-22 20:05:52.058228,-4.96631,-1.10142,8.48045,-5.48708,3.52974,7.5128,0.00083,-0.00033,0.00092,0.00022,-0.00081,0.00012,9.88916,9.95034,0.00128,0.00085
2025-03-22 20:05:52.068303,-4.9675,-1.1008,8.48399,-5.48582,3.53446,7.5115,0.00093,-0.00033,0.00097,0.00024,-0.00081,0.00013,9.89272,9.95034,0.00138,0.00085
2025-03-22 20:05:52.078386,-4.96631,-1.08068,8.48418,-5.49461,3.52388,7.51069,0.00101,-0.00034,0.001,0.00026,-0.00082,0.00015,9.89007,9.95083,0.00146,0.00087
2025-03-22 20:05:52.088459,-4.96367,-1.06458,8.48936,-5.49543,3.51661,7.5122,0.00107,-0.00034,0.00102,0.00029,-0.00082,0.00017,9.89144,9.94985,0.00152,0.00089
2025-03-22 20:05:52.098533,-4.96348,-1.03544,8.49206,-5.49274,3.52611,7.50887,0.00112,-0.00034,0.00102,0.00031,-0.00084,0.0002,9.89057,9.94921,0.00155,0.00092
2025-03-22 20:05:52.108613,-4.965,-1.00637,8.49591,-5.48891,3.52797,7.51601,0.00112,-0.00034,0.001,0.00033,-0.00085,0.00023,9.89164,9.95315,0.00154,0.00094
2025-03-22 20:05:52.118693,-4.96598,-0.97954,8.49874,-5.48776,3.54788,7.51813,0.00108,-0.00034,0.00096,0.00036,-0.00085,0.00025,9.89187,9.96119,0.00148,0.00096
2025-03-22 20:05:52.128771,-4.967,-0.94897,8.49933,-5.48037,3.5516,7.52366,0.00099,-0.00034,0.00091,0.00036,-0.00083,0.00025,9.88991,9.96262,0.00139,0.00094
2025-03-22 20:05:52.138854,-4.96567,-0.94055,8.50076,-5.485,3.55434,7.52258,0.00086,-0.00033,0.00083,0.00037,-0.00081,0.00024,9.88966,9.96533,0.00124,0.00092
2025-03-22 20:05:52.148929,-4.95981,-0.94554,8.50669,-5.48535,3.5539,7.52674,0.00073,-0.00033,0.00075,0.00038,-0.00078,0.00022,9.8923,9.9685,0.0011,0.0009
2025-03-22 20:05:52.159007,-4.95608,-0.95169,8.50833,-5.48108,3.55858,7.52576,0.00062,-0.00031,0.00067,0.00039,-0.00075,0.00021,9.89243,9.96709,0.00096,0.00087
2025-03-22 20:05:52.169093,-4.9555,-0.96594,8.50915,-5.49059,3.55322,7.51947,0.00053,-0.0003,0.0006,0.0004,-0.00073,0.0002,9.89422,9.96566,0.00085,0.00086
2025-03-22 20:05:52.179169,-4.95455,-0.96753,8.5079,-5.48982,3.56521,7.51444,0.00048,-0.00029,0.00055,0.00042,-0.00071,0.0002,9.89283,9.96572,0.00079,0.00085
2025-03-22 20:05:52.189249,-4.95881,-0.95205,8.50786,-5.4849,3.58222,7.51113,0.00044,-0.00029,0.00052,0.00044,-0.00071,0.00018,9.89343,9.96662,0.00074,0.00085
2025-03-22 20:05:52.199340,-4.96031,-0.93631,8.50854,-5.48431,3.58936,7.5061,0.00038,-0.00029,0.0005,0.00043,-0.0007,0.00015,9.89326,9.96507,0.00069,0.00084
2025-03-22 20:05:52.209416,-4.96031,-0.94,8.50813,-5.48575,3.58312,7.50733,0.00029,-0.00029,0.00045,0.0004,-0.0007,0.00012,9.89326,9.96455,0.00061,0.00082
2025-03-22 20:05:52.219491,-4.95912,-0.94199,8.50804,-5.48093,3.58745,7.50497,0.00021,-0.00029,0.00041,0.00037,-0.0007,9e-05,9.89277,9.96167,0.00054,0.0008
2025-03-22 20:05:52.229591,-4.96295,-0.93664,8.50534,-5.4773,3.58876,7.50332,8e-05,-0.00028,0.00037,0.00032,-0.00069,5e-05,9.89186,9.95891,0.00047,0.00076
